"Date","Value"
"04/09/2008",86.5764
"04/10/2008",86.5131
"04/11/2008",86.5029
"04/14/2008",86.3492
"04/15/2008",86.4705
"04/16/2008",85.9037
"04/17/2008",86.1077
"04/18/2008",86.5277
"04/21/2008",86.2979
"04/22/2008",85.927
"04/23/2008",86.3841
"04/24/2008",86.7154
"04/25/2008",86.8337
"04/28/2008",86.7635
"04/29/2008",86.873
"04/30/2008",86.8907
"05/01/2008",87.1347
"05/02/2008",87.2311
"05/05/2008",87.0636
"05/06/2008",86.847
"05/07/2008",87.3421
"05/08/2008",87.4575
"05/09/2008",87.2528
"05/12/2008",87.0403
"05/13/2008",87.1332
"05/14/2008",87.3659
"05/15/2008",87.1823
"05/16/2008",86.7855
"05/19/2008",86.8225
"05/20/2008",86.5627
"05/21/2008",86.1595
"05/22/2008",86.3223
"05/23/2008",86.1922
"05/26/2008",86.19
"05/27/2008",86.4459
"05/28/2008",86.4951
"05/29/2008",86.5616
"05/30/2008",86.5504
"06/02/2008",86.6321
"06/03/2008",86.8359
"06/04/2008",87.0999
"06/05/2008",87.0968
"06/06/2008",86.8028
"06/09/2008",86.9096
"06/10/2008",87.4705
"06/11/2008",87.2059
"06/12/2008",87.6187
"06/13/2008",87.7622
"06/16/2008",87.3911
"06/17/2008",87.2103
"06/18/2008",87.1872
"06/19/2008",87.0815
"06/20/2008",86.9036
"06/23/2008",87.2163
"06/24/2008",86.9666
"06/25/2008",87.0535
"06/26/2008",86.6793
"06/27/2008",86.643
"06/30/2008",86.7621
"07/01/2008",86.8447
"07/02/2008",86.4782
"07/03/2008",86.8843
"07/04/2008",86.8781
"07/07/2008",86.9617
"07/08/2008",86.9778
"07/09/2008",86.5335
"07/10/2008",86.5122
"07/11/2008",86.221
"07/14/2008",86.1079
"07/15/2008",85.8731
"07/16/2008",85.9285
"07/17/2008",85.9387
"07/18/2008",86.0735
"07/21/2008",86.0151
"07/22/2008",86.1909
"07/23/2008",86.2664
"07/24/2008",86.4017
"07/25/2008",86.3916
"07/28/2008",86.4666
"07/29/2008",86.8175
"07/30/2008",86.8167
"07/31/2008",86.8567
"08/01/2008",86.8257
"08/04/2008",87.0611
"08/05/2008",87.3281
"08/06/2008",87.6004
"08/07/2008",87.8732
"08/08/2008",88.8939
"08/11/2008",89.035
"08/12/2008",89.1916
"08/13/2008",89.3211
"08/14/2008",89.3675
"08/15/2008",89.7244
"08/18/2008",89.5966
"08/19/2008",89.6465
"08/20/2008",89.6977
"08/21/2008",88.9128
"08/22/2008",89.2381
"08/25/2008",89.3094
"08/26/2008",89.7007
"08/27/2008",89.6419
"08/28/2008",89.8225
"08/29/2008",90.0567
"09/01/2008",90.08
"09/02/2008",90.8438
"09/03/2008",90.8286
"09/04/2008",91.1621
"09/05/2008",91.341
"09/08/2008",91.663
"09/09/2008",91.5779
"09/10/2008",92.1283
"09/11/2008",92.4901
"09/12/2008",91.4706
"09/15/2008",91.757
"09/16/2008",92.0594
"09/17/2008",92.0982
"09/18/2008",91.7111
"09/19/2008",91.0014
"09/22/2008",90.1119
"09/23/2008",90.1221
"09/24/2008",90.4602
"09/25/2008",90.4651
"09/26/2008",90.6872
"09/29/2008",91.3961
"09/30/2008",92.3773
"10/01/2008",92.511
"10/02/2008",93.3792
"10/03/2008",93.5414
"10/06/2008",95.1629
"10/07/2008",95.4889
"10/08/2008",96.9684
"10/09/2008",96.5143
"10/10/2008",97.999
"10/13/2008",97.9686
"10/14/2008",96.2544
"10/15/2008",97.2045
"10/16/2008",98.368
"10/17/2008",97.7255
"10/20/2008",98.1605
"10/21/2008",99.4242
"10/22/2008",101.2131
"10/23/2008",101.1071
"10/24/2008",101.8442
"10/27/2008",102.3415
"10/28/2008",102.4236
"10/29/2008",100.0967
"10/30/2008",99.4568
"10/31/2008",99.7662
"11/03/2008",99.4345
"11/04/2008",97.9957
"11/05/2008",98.0953
"11/06/2008",99.5364
"11/07/2008",99.3944
"11/10/2008",99.5897
"11/11/2008",99.6041
"11/12/2008",101.1947
"11/13/2008",101.774
"11/14/2008",100.9705
"11/17/2008",101.1029
"11/18/2008",101.3965
"11/19/2008",101.8804
"11/20/2008",103.2737
"11/21/2008",103.6289
"11/24/2008",101.502
"11/25/2008",100.7997
"11/26/2008",101.2566
"11/27/2008",101.2564
"11/28/2008",101.6468
"12/01/2008",102.1744
"12/02/2008",101.9891
"12/03/2008",102.4251
"12/04/2008",102.0715
"12/05/2008",103.4902
"12/08/2008",101.7227
"12/09/2008",101.7346
"12/10/2008",101.2913
"12/11/2008",99.5101
"12/12/2008",100.319
"12/15/2008",99.1001
"12/16/2008",98.4771
"12/17/2008",96.8227
"12/18/2008",96.8447
"12/19/2008",98.1278
"12/22/2008",98.1643
"12/23/2008",98.2698
"12/24/2008",98.2249
"12/25/2008",98.2419
"12/26/2008",98.2594
"12/29/2008",97.9359
"12/30/2008",98.3833
"12/31/2008",98.6518
"01/02/2009",98.6008
"01/05/2009",98.9195
"01/06/2009",98.7871
"01/07/2009",98.089
"01/08/2009",98.3223
"01/09/2009",98.8752
"01/12/2009",99.6022
"01/13/2009",100.3597
"01/14/2009",100.7546
"01/15/2009",101.4653
"01/16/2009",100.711
"01/21/2009",102.1007
"01/22/2009",101.8432
"01/23/2009",102.1096
"01/26/2009",100.9764
"01/27/2009",101.1702
"01/28/2009",100.5461
"01/29/2009",101.3398
"01/30/2009",102.1169
"02/02/2009",102.5067
"02/03/2009",101.8506
"02/04/2009",101.9056
"02/05/2009",101.9517
"02/06/2009",101.7455
"02/09/2009",100.9637
"02/10/2009",101.7094
"02/11/2009",102.24
"02/12/2009",102.598
"02/13/2009",102.2958
"02/17/2009",103.7625
"02/18/2009",104.0385
"02/19/2009",103.7656
"02/20/2009",104.0244
"02/23/2009",103.7416
"02/24/2009",103.9829
"02/25/2009",104.3086
"02/26/2009",104.1813
"02/27/2009",104.9284
"03/02/2009",105.9617
"03/03/2009",106.0249
"03/04/2009",105.4558
"03/05/2009",105.8064
"03/06/2009",105.3937
"03/09/2009",106.0182
"03/10/2009",105.1153
"03/11/2009",104.8499
"03/12/2009",104.89
"03/13/2009",104.1106
"03/16/2009",103.2005
"03/17/2009",103.2305
"03/18/2009",103.0005
"03/19/2009",100.3951
"03/20/2009",101.0581
"03/23/2009",101.103
